trial_id,crowd_density_humans,fixed_fleet_size,success_rate_pct,makespan_s,mean_replan_latency_ms,discomfort_integral,v2v_mesh_packets
23,12,4,100.0,54.35,0.15,4.83,10
23,18,4,100.0,43.7,0.096,10.93,19
23,24,4,100.0,54.8,0.229,86.06,26
24,2,4,100.0,27.3,0.038,0.05,22
24,6,4,100.0,24.7,0.051,3.81,17
24,12,4,0.0,65.05,0.107,1.1,10
24,18,4,100.0,55.55,0.171,48.9,27
24,24,4,100.0,51.85,0.219,8.11,6
24,30,4,100.0,57.15,0.368,18.3,11
25,2,4,100.0,35.75,0.024,54.38,42
25,6,4,100.0,24.7,0.053,0.0,15
25,12,4,100.0,34.1,0.104,0.09,28
25,18,4,100.0,43.7,0.147,14.73,15
25,24,4,100.0,44.15,0.381,21.95,12
25,30,4,100.0,37.2,0.587,4.41,13
26,2,4,100.0,28.75,0.061,12.94,14
26,6,4,100.0,50.9,0.094,5.62,10
26,12,4,100.0,54.3,0.234,1.19,12
26,18,4,100.0,41.05,0.284,47.47,27
26,24,4,100.0,44.65,0.408,25.76,16
26,30,4,100.0,36.9,0.472,29.8,20
27,2,4,100.0,35.5,0.092,0.13,25
27,6,4,0.0,65.05,0.117,43.09,18
27,12,4,100.0,39.6,0.173,25.13,23
27,18,4,100.0,63.45,0.181,39.61,29
27,24,4,100.0,50.85,0.465,41.34,14
27,30,4,100.0,35.3,0.485,1.61,10
28,2,4,100.0,21.15,0.058,0.0,26
28,6,4,100.0,45.3,0.097,7.95,11
28,12,4,100.0,35.3,0.24,6.58,10
28,18,4,100.0,45.2,0.269,47.54,39
28,24,4,100.0,35.5,0.418,15.7,14
28,30,4,100.0,39.65,0.48,22.23,18
29,2,4,100.0,33.65,0.116,0.0,15
29,6,4,100.0,41.7,0.115,22.37,21
29,12,4,100.0,41.45,0.163,0.5,10
29,18,4,100.0,63.85,0.328,22.7,13
29,24,4,100.0,41.1,0.449,1.67,13
29,30,4,100.0,55.0,0.498,111.68,47
30,2,4,100.0,40.1,0.045,0.0,22
30,6,4,100.0,55.55,0.042,1.36,5
30,12,4,0.0,65.05,0.166,31.67,21
31,2,4,100.0,21.15,0.03,0.01,21
32,2,4,100.0,36.9,0.045,0.0,14
32,6,4,100.0,27.45,0.068,0.22,19
33,2,4,100.0,34.4,0.038,0.76,13
33,6,4,100.0,52.75,0.042,39.03,22
33,12,4,100.0,48.75,0.116,1.41,17
34,2,4,100.0,52.3,0.039,0.02,22
35,2,4,100.0,41.9,0.044,2.75,24
35,6,4,100.0,35.3,0.056,0.01,11
36,2,4,100.0,43.55,0.027,0.0,19
36,6,4,100.0,45.9,0.047,0.01,14
36,12,4,100.0,42.2,0.064,0.05,10
37,2,4,0.0,65.05,0.042,13.48,22
37,6,4,100.0,53.8,0.098,6.12,19
38,2,4,100.0,28.75,0.022,0.14,13
38,6,4,100.0,35.3,0.072,0.08,12
38,12,4,100.0,40.35,0.175,11.78,17
39,2,4,100.0,35.85,0.031,7.86,19
40,2,4,100.0,54.05,0.022,0.03,25
40,6,4,100.0,35.3,0.056,0.02,12
40,12,4,100.0,43.85,0.085,17.85,19
40,18,4,100.0,55.25,0.301,34.21,11
40,24,4,0.0,65.05,0.248,71.3,39
41,2,4,100.0,43.2,0.021,0.05,17
41,6,4,0.0,65.05,0.051,0.11,13
41,12,4,100.0,32.35,0.089,15.1,8
41,18,4,100.0,60.7,0.098,15.44,12
42,2,4,100.0,42.85,0.043,0.0,11
42,6,4,100.0,47.35,0.09,0.06,21
42,12,4,0.0,65.05,0.051,0.03,14
42,18,4,100.0,47.55,0.208,9.68,10
42,24,4,100.0,56.55,0.114,30.68,22
42,30,4,100.0,59.4,0.144,39.06,14
43,2,4,100.0,44.3,0.03,0.16,16
43,6,4,100.0,37.5,0.114,0.08,19
43,12,4,0.0,65.05,0.087,175.07,61
43,18,4,100.0,41.85,0.164,49.57,25
43,24,4,0.0,65.05,0.274,269.07,95
44,2,4,100.0,47.9,0.034,27.41,26
44,6,4,0.0,65.05,0.047,0.29,9
45,2,4,100.0,42.6,0.038,7.57,18
46,2,4,100.0,51.1,0.03,6.95,13
46,6,4,100.0,38.25,0.035,0.26,14
47,2,4,100.0,41.25,0.03,0.28,24
47,6,4,100.0,36.05,0.056,4.28,19
47,12,4,0.0,65.05,0.087,4.94,20
47,18,4,100.0,49.0,0.092,1.66,12
