trial_id,configuration,omitted_component,success,travel_time_s,deadlocks,discomfort_integral,shelf_contact_ticks,shelf_contact_events,min_shelf_clearance_m,inter_cart_crowding
12,w/o V2V Mesh Telemetry,W_mesh = 0,1,32.45,0,0.01,109,3,0.51,0
12,w/o Corridor Mutex Lock,R_lock = 0,1,32.45,0,0.01,109,3,0.51,0
12,w/o Human Gaussian Proxemics,H_prox = 0,0,180.0,0,18.78,312,101,0.486,0
12,w/o Trolley Kinetic Safety Bubble,S_trolley = 0,1,43.9,0,0.01,303,95,0.0,0
13,Full D2RO Framework,None (Complete Equation),1,61.45,0,0.22,253,6,0.51,0
13,w/o V2V Mesh Telemetry,W_mesh = 0,1,35.4,0,0.02,143,3,0.51,0
13,w/o Corridor Mutex Lock,R_lock = 0,1,35.4,0,0.02,143,3,0.51,0
13,w/o Human Gaussian Proxemics,H_prox = 0,0,180.0,0,14.14,727,58,0.331,0
13,w/o Trolley Kinetic Safety Bubble,S_trolley = 0,1,56.0,0,0.32,353,123,0.0,0
14,Full D2RO Framework,None (Complete Equation),1,51.45,0,0.01,174,4,0.506,0
14,w/o V2V Mesh Telemetry,W_mesh = 0,1,38.1,0,0.01,314,7,0.491,0
14,w/o Corridor Mutex Lock,R_lock = 0,1,38.1,0,0.01,314,7,0.491,0
14,w/o Human Gaussian Proxemics,H_prox = 0,0,180.0,0,17.43,156,52,0.391,0
14,w/o Trolley Kinetic Safety Bubble,S_trolley = 0,1,43.25,0,0.01,287,97,0.0,0
15,Full D2RO Framework,None (Complete Equation),1,42.6,0,0.0,114,1,0.511,0
15,w/o V2V Mesh Telemetry,W_mesh = 0,1,27.55,0,0.0,52,2,0.517,0
15,w/o Corridor Mutex Lock,R_lock = 0,1,27.55,0,0.0,52,2,0.517,0
15,w/o Human Gaussian Proxemics,H_prox = 0,0,180.0,0,13.32,293,76,0.51,0
15,w/o Trolley Kinetic Safety Bubble,S_trolley = 0,1,39.45,0,0.0,216,74,0.0,0
16,Full D2RO Framework,None (Complete Equation),1,80.45,0,0.08,378,6,0.506,0
16,w/o V2V Mesh Telemetry,W_mesh = 0,1,45.65,0,0.07,266,13,0.495,0
16,w/o Corridor Mutex Lock,R_lock = 0,1,45.65,0,0.07,266,13,0.495,0
16,w/o Human Gaussian Proxemics,H_prox = 0,1,155.45,0,13.97,281,38,0.483,0
16,w/o Trolley Kinetic Safety Bubble,S_trolley = 0,1,46.8,0,0.01,357,119,0.0,0
17,Full D2RO Framework,None (Complete Equation),1,42.2,0,0.0,152,2,0.511,0
17,w/o V2V Mesh Telemetry,W_mesh = 0,1,28.55,0,0.0,38,1,0.517,0
17,w/o Corridor Mutex Lock,R_lock = 0,1,28.55,0,0.0,38,1,0.517,0
17,w/o Human Gaussian Proxemics,H_prox = 0,0,180.0,0,13.99,228,54,0.502,0
17,w/o Trolley Kinetic Safety Bubble,S_trolley = 0,1,40.5,0,0.0,224,82,0.0,0
18,Full D2RO Framework,None (Complete Equation),1,26.4,0,0.04,103,10,0.511,0
18,w/o V2V Mesh Telemetry,W_mesh = 0,1,64.25,0,0.04,866,10,0.506,0
18,w/o Corridor Mutex Lock,R_lock = 0,1,64.25,0,0.04,866,10,0.506,0
18,w/o Human Gaussian Proxemics,H_prox = 0,1,84.25,0,3.11,148,31,0.512,0
18,w/o Trolley Kinetic Safety Bubble,S_trolley = 0,1,24.6,0,0.03,267,113,0.0,0
19,Full D2RO Framework,None (Complete Equation),1,42.2,0,0.0,114,1,0.511,0
19,w/o V2V Mesh Telemetry,W_mesh = 0,1,34.55,0,0.0,113,3,0.505,0
19,w/o Corridor Mutex Lock,R_lock = 0,1,34.55,0,0.0,113,3,0.505,0
19,w/o Human Gaussian Proxemics,H_prox = 0,0,180.0,0,13.75,242,73,0.508,0
19,w/o Trolley Kinetic Safety Bubble,S_trolley = 0,1,39.05,0,0.0,339,77,0.0,0
20,Full D2RO Framework,None (Complete Equation),1,33.45,0,0.01,194,2,0.511,0
20,w/o V2V Mesh Telemetry,W_mesh = 0,1,39.95,0,0.01,288,8,0.485,0
20,w/o Corridor Mutex Lock,R_lock = 0,1,39.95,0,0.01,288,8,0.485,0
20,w/o Human Gaussian Proxemics,H_prox = 0,0,180.0,0,13.52,116,31,0.512,0
20,w/o Trolley Kinetic Safety Bubble,S_trolley = 0,1,25.7,0,0.0,222,118,0.0,0
21,Full D2RO Framework,None (Complete Equation),1,39.95,0,0.59,311,7,0.504,0
21,w/o V2V Mesh Telemetry,W_mesh = 0,1,39.5,0,0.57,241,7,0.507,0
21,w/o Corridor Mutex Lock,R_lock = 0,1,39.5,0,0.57,241,7,0.507,0
21,w/o Human Gaussian Proxemics,H_prox = 0,1,46.1,0,1.24,268,3,0.509,0
21,w/o Trolley Kinetic Safety Bubble,S_trolley = 0,1,70.5,0,1.18,416,166,0.0,0
22,Full D2RO Framework,None (Complete Equation),1,43.0,0,0.01,114,1,0.511,0
22,w/o V2V Mesh Telemetry,W_mesh = 0,1,27.95,0,0.01,51,2,0.512,0
22,w/o Corridor Mutex Lock,R_lock = 0,1,27.95,0,0.01,51,2,0.512,0
22,w/o Human Gaussian Proxemics,H_prox = 0,0,180.0,0,11.19,80,52,0.5,0
22,w/o Trolley Kinetic Safety Bubble,S_trolley = 0,1,40.5,0,0.01,224,82,0.0,0
