trial_id,cell,social_routing,yielding,success,timeout,makespan_s,intimate_exposure_person_ticks,intimate_exposure_person_s,intimate_encounters,replans
32,B_frozen_yield,0,1,0,1,180.0,570,28.5,3,8
33,B_frozen_yield,0,1,0,1,180.0,713,35.65,10,9
34,B_frozen_yield,0,1,0,1,180.0,1110,55.5,7,9
35,B_frozen_yield,0,1,0,1,180.0,1140,57.0,15,9
36,B_frozen_yield,0,1,0,1,180.0,1045,52.25,4,9
37,B_frozen_yield,0,1,0,1,180.0,1836,91.8,11,9
38,B_frozen_yield,0,1,0,1,180.0,879,43.95,5,8
39,B_frozen_yield,0,1,1,0,131.15,719,35.95,7,10
40,B_frozen_yield,0,1,0,1,180.0,1163,58.15,12,9
41,B_frozen_yield,0,1,0,1,180.0,1839,91.95,13,9
42,B_frozen_yield,0,1,0,1,180.0,1278,63.9,12,9
43,B_frozen_yield,0,1,1,0,147.15,327,16.35,3,10
44,B_frozen_yield,0,1,0,1,180.0,925,46.25,9,9
45,B_frozen_yield,0,1,0,1,180.0,1105,55.25,10,8
46,B_frozen_yield,0,1,0,1,180.0,557,27.85,3,9
47,B_frozen_yield,0,1,0,1,180.0,1259,62.95,5,8
48,B_frozen_yield,0,1,1,0,127.6,1121,56.05,8,10
49,B_frozen_yield,0,1,0,1,180.0,1021,51.05,4,8
50,B_frozen_yield,0,1,0,1,180.0,1344,67.2,8,9
1,C_social_noyield,1,0,1,0,27.25,0,0.0,0,443
2,C_social_noyield,1,0,1,0,42.45,0,0.0,0,506
3,C_social_noyield,1,0,1,0,42.2,0,0.0,0,444
4,C_social_noyield,1,0,1,0,35.8,0,0.0,0,509
5,C_social_noyield,1,0,1,0,62.0,0,0.0,0,454
6,C_social_noyield,1,0,1,0,71.85,0,0.0,0,568
7,C_social_noyield,1,0,1,0,27.95,0,0.0,0,396
8,C_social_noyield,1,0,1,0,68.55,0,0.0,0,658
9,C_social_noyield,1,0,1,0,53.8,0,0.0,0,618
10,C_social_noyield,1,0,1,0,42.6,0,0.0,0,397
11,C_social_noyield,1,0,1,0,44.5,0,0.0,0,484
12,C_social_noyield,1,0,1,0,43.0,0,0.0,0,312
13,C_social_noyield,1,0,1,0,57.75,0,0.0,0,627
14,C_social_noyield,1,0,1,0,43.0,0,0.0,0,413
15,C_social_noyield,1,0,1,0,93.15,6,0.3,1,736
16,C_social_noyield,1,0,1,0,43.6,0,0.0,0,519
17,C_social_noyield,1,0,1,0,24.35,0,0.0,0,345
18,C_social_noyield,1,0,1,0,107.85,22,1.1,1,887
19,C_social_noyield,1,0,1,0,65.8,0,0.0,0,585
20,C_social_noyield,1,0,1,0,42.2,0,0.0,0,432
21,C_social_noyield,1,0,1,0,33.85,0,0.0,0,427
22,C_social_noyield,1,0,1,0,42.2,0,0.0,0,377
23,C_social_noyield,1,0,1,0,48.45,0,0.0,0,452
24,C_social_noyield,1,0,1,0,42.2,0,0.0,0,379
25,C_social_noyield,1,0,1,0,41.9,0,0.0,0,444
26,C_social_noyield,1,0,1,0,65.5,0,0.0,0,480
27,C_social_noyield,1,0,1,0,70.5,0,0.0,0,628
28,C_social_noyield,1,0,1,0,36.7,0,0.0,0,412
29,C_social_noyield,1,0,1,0,54.6,0,0.0,0,572
30,C_social_noyield,1,0,1,0,43.35,0,0.0,0,391
31,C_social_noyield,1,0,1,0,43.25,0,0.0,0,384
32,C_social_noyield,1,0,1,0,64.05,0,0.0,0,766
33,C_social_noyield,1,0,1,0,42.2,0,0.0,0,368
34,C_social_noyield,1,0,1,0,51.8,0,0.0,0,579
35,C_social_noyield,1,0,1,0,37.3,0,0.0,0,400
36,C_social_noyield,1,0,1,0,43.25,0,0.0,0,374
37,C_social_noyield,1,0,1,0,42.2,0,0.0,0,331
38,C_social_noyield,1,0,1,0,42.2,0,0.0,0,351
39,C_social_noyield,1,0,1,0,50.8,0,0.0,0,367
40,C_social_noyield,1,0,1,0,45.9,0,0.0,0,535
41,C_social_noyield,1,0,1,0,89.55,0,0.0,0,638
42,C_social_noyield,1,0,1,0,42.8,0,0.0,0,498
43,C_social_noyield,1,0,1,0,42.8,0,0.0,0,401
44,C_social_noyield,1,0,1,0,37.8,0,0.0,0,466
45,C_social_noyield,1,0,1,0,52.25,0,0.0,0,473
46,C_social_noyield,1,0,1,0,42.5,0,0.0,0,455
47,C_social_noyield,1,0,1,0,42.2,0,0.0,0,444
48,C_social_noyield,1,0,1,0,46.05,0,0.0,0,595
49,C_social_noyield,1,0,1,0,39.1,0,0.0,0,515
50,C_social_noyield,1,0,1,0,40.0,0,0.0,0,487
1,D_social_yield,1,1,1,0,27.25,0,0.0,0,443
2,D_social_yield,1,1,1,0,42.45,0,0.0,0,506
3,D_social_yield,1,1,1,0,42.2,0,0.0,0,444
4,D_social_yield,1,1,1,0,35.8,0,0.0,0,509
5,D_social_yield,1,1,1,0,62.0,0,0.0,0,454
